Instruccion,opciones,Columna izquierda,Columna central,Columna derecha,Respuesta 
,orange,,,,Violet
,red,,,,Indigo
,indigo,,,,Blue
,yellow,,,,Green
,violet,,,,Yellow
,green,,,,Orange
,blue,,,,Red
Read and match,,,,,
,a) They aren't hotcakes. They're eggs,,,,
,b) They aren't eggs. They're hotcakes,,,,
,c) it's oatmeal. It isn't juice,,,,
,d) It's juice. It isn't oatmeal.,,,,
Match the words,,,,,
,get,television,,,up 
,have,to bed,,,breakfast
,get,up ,,,dressed
,do,breakfast,,,my homework
,watch,my homework,,,television
,go,dressed,,,to bed
Match the words to the pictures,,,,,
,turtle,,,,
,dog,,,,
,gold fish,,,,
,cat,,,,
,rabbit,,,,
,hamster,,,,
Match the words to the pictures,,,,,
,desert,,,,
,city,,,,
,ocean,,,,
,jungle,,,,
,plain,,,,
