Archivo JSON,Instruccion,opciones,respuestas
SBS1M1L1a.json,Match the symbols to the words,,
,,U,XOXOXO
,,lol,Cu
,,@Ed's,lol
,,<3,@Ed's
,,XOXOXO,2
,,Cu,<3
,,2,U
SBS1M2L9a.json,Read the following sentences and match them to their meanings.,,
,,"Johnny can play the guitar really well, but he can't dance!",Ability
,,"Miss Sánchez, can I go to the main office, please? ",Permission
,,My art teacher is a real artist. He can paint anything.,Ability
,,"You can't travel to Europe by train, it's impossible.",Possibility or impossibility
SBS1M3L11a.json,Match the pictures with the words and the instructions.,,
,,Lie with your face towards the floor and push with your hands to raise your body until your arms are straight.,push ups
,,Grip the bar and slowly pull yourself until your chin clears the bar,pull ups
,,Get into push-ups position. Then bend your elbows 90 degrees and rest your weight on your forearms,planks
,,Start with your feet shoulder-width apart. Step forward with one leg. Lower your hips and bend your knees at 90-degree angles. Slowly stand up and repeat with your other leg. ,lunges
SBS1M3L11b.json,Let's review some prepositions of place. Label the pictures.,,
,,https://potenciamx.s3.amazonaws.com/images/above.png,https://potenciamx.s3.amazonaws.com/images/bird_above.png
,,https://potenciamx.s3.amazonaws.com/images/between.png,https://potenciamx.s3.amazonaws.com/images/bird_between.png
,,https://potenciamx.s3.amazonaws.com/images/in_front_of.png,https://potenciamx.s3.amazonaws.com/images/bird_in_front_of.png
,,https://potenciamx.s3.amazonaws.com/images/in_inside.png,https://potenciamx.s3.amazonaws.com/images/bird_in.png
,,https://potenciamx.s3.amazonaws.com/images/under.png,https://potenciamx.s3.amazonaws.com/images/bird_under.png
,,https://potenciamx.s3.amazonaws.com/images/on.png,https://potenciamx.s3.amazonaws.com/images/bird_on.png
,,https://potenciamx.s3.amazonaws.com/images/out_of_close_to.png,https://potenciamx.s3.amazonaws.com/images/bird_out.png
,,https://potenciamx.s3.amazonaws.com/images/behind.png,https://potenciamx.s3.amazonaws.com/images/bird_behind.png
SBS1M4L17b.json,Match the questions with the correct answer,,
,,Where was Jane last week?,She was in Colorado.
,,How does Jane describe Boulder? ,"It's a beautiful town near the Rockies, with a great University."
,,Who has been to New York?,Iñaki has.
,,Where has Bill gone as an exchange student?,To San Francisco High School.
,,How does Bill describe San Francisco? ,"It's a great city, full of beautiful things."
SBS1M5L21b.json,Match the clauses to form sentences,,
,,"If you heat ice cubes,",they melt.
,,"If you touch the oven when it's on,",you burn your hand.
,,"When she looks at you, ",you get all goofy.
,,We all stand up,when the teacher walks in.
,,"If the fire drill goes off,",we walk out to the patio quickly.
SBS1M5L22b.json,Match the causes to the possible effects to make sentences.,,
,,"When you see big dark clouds in the sky,",it's probably going to rain soon.
,,"When the teacher says, ""take out a piece of paper"",",there's going to be a test.
,,"When my Dad says he wants to talk,",I know that I'm in trouble.
,,"When Beth looks at me up and down,",I know she's jealous of my clothes.
,,"If you feel jealous of your friend, ",open up and tell her nicely.
,,"If you want my help,","sit down, keep quiet and listen. "
SBS1M5L24a.json,Match the British words to the American words.,,
,,pudding,dessert
,,flat,apartment
,,post,mail
,,torch,flashlight
,,car park,parking lot
,,postman,mailman
SBS1M5L25b.json,Match the clauses to complete the sentences.,,
,,"If I'm stuck in my homework,",a true friend will help me finish it.
,,"If you're being bullied,",talk to someone about your feelings.
,,"When true friends surround you,",life seems better and more colorful.
,,"Don't ask me to lie for you,",if you are a really good friend.
,,"If you are my good friend,",you won't make me feel less.
