Archivo JSON,Instruccion,opciones,respuestas
WBP6M1L2a.json,Match the words to the pictures,,
,,https://potenciamx.s3.amazonaws.com/images/gecko.jpg,gecko
,,https://potenciamx.s3.amazonaws.com/images/ferret.jpg,ferret
,,https://potenciamx.s3.amazonaws.com/images/snake.jpg,snake
,,https://potenciamx.s3.amazonaws.com/images/iguana.jpg,iguana
,,https://potenciamx.s3.amazonaws.com/images/spider.jpg,spider
WBP6M1L4a.json,Match the supplies to the pictures,,
,,https://potenciamx.s3.amazonaws.com/images/notebook.png,notebook
,,https://potenciamx.s3.amazonaws.com/images/pencil.png,pencil
,,https://potenciamx.s3.amazonaws.com/images/Sharpener.png,sharpener
,,https://potenciamx.s3.amazonaws.com/images/pencil+case.png,pencil case
,,https://potenciamx.s3.amazonaws.com/images/scissors.png,scissors
,,https://potenciamx.s3.amazonaws.com/images/ruler.png,ruler
