Module,Lesson,Page,Orden,Intruccion,Pregunta ,Respuesta
1,3,11,4,Unscramble the letters to make words.,,
,,,,,e / f / o / c / i / f,office
,,,,,t / m / a / o / h / o / b / r,bathroom
1,4,12,1,Unscramble the commands,,
,,,a,,Up / Stand,Stand up
,,,b,,please / down / Sit,Sit down please
,,,c,,your / Open / notebook,Open your notebook
,,,d,,a song / Sing,Sing a song
,,,e,,trumpet / Play / the,Play the trumpet.
3,14,36,1,Unscramble the questions.,,
,,,,,in the ocean / live / rats / Do / ?,Do rats live in the ocean?
,,,,,in the jungle / Do / live / ? / camels,Do camels live in the jungle?
,,,,,camels / ? / in the desert / Do / live ,Do camels live in the desert?
,,,,,sharks / ? / in the ocean / Do / live,Do sharks live in the ocean?
,,,,,chimpanzees / ? / live / Do / on the plain,Do chimpanzees live on the plain?
3,14,37,3,Unscramble the words,,
,,,,,rkash,shark
,,,,,atr,rat
,,,,,macle,camel
,,,,,pholind,dolphin
