Module,Lesson,Page,Orden,Instruccion,Pregunta,Blank 1,Pregunta 2,Blank 2 ,Pregunta 3,Blank 3,Pregunta final,Respuesta,Respuesta  2
1,1,6,1,Write the sentences,,,,,,,,,
,,,a,,___ ?,,,,,,,Milk comes from cows,
,,,b,,___ ?,,,,,,,Honey comes from bees.,
,,,c,,___ ?,,,,,,,Sausages comes from pigs,
,,,d,,___ ?,,,,,,,Eggs come from hens,
,,7,2,Complete the questions,,,,,,,,,
,,,a,,Where ___ comes from?,,,,,,,does bacon,
,,,b,,Where ___ come from?,,,,,,,do eggs,
1,2,8,1,Read and complete,,,,,,,,,
,,,a,,Carlos like cabbage but he ___,,,,,,,doesn't like broccoli,
,,,b,,Alice and Kim like potatoes and they ___,,,,,,,like carrots too,
,,,c,,Alice and Kim like carrots but they ___,,,,,,,don't like beets or onions,
,,,d,,Carlos doesn't like lettuce and he ___,,,,,,,doesn't like broccoli,
1,2,8,2,Write about you,,,,,,,,,
,,,a,,I ___ and I ___,,,,,,,,
,,,b,,I ___ but I ___,,,,,,,,
1,2,9,4,Guess the vegetables,,,,,,,,,
,,,a,,___.  It's red and it's round,,,,,,,tomato,
,,,b,,___. They're small and round and green,,,,,,,peas,
1,3,10,2,Use the words to complete instructions,,,,,,,,,
,,,a,,___ the potatoes.,,,,,,,Wash.,
,,,b,,___ the potatoes.,,,,,,,Peel,
,,,c,,___ the onion.,,,,,,,Cut,
,,,d,,___ the potatoes and water in the blender.,,,,,,,Put,
,,,e,,___ on the blender,,,,,,,Turn,
,,,f,,___ some salt and pepper,,,,,,,Add,
1,4,12,2,Complete the phrase,,,,,,,,,
,,,a,,___ the strawberry jelly?,,,,,,,Where's,
1,4,13,3,Complete the word,,,,,,,,,
,,,a,,C___,,,,,,,ereal,
,,,b,,B___,,,,,,,read,
,,,c,,B___,,,,,,,utter,
,,,d,,M___,,,,,,,ilk,
,,,e,,C___,,,,,,,heese,
,,,f,,S___,,,,,,,trawberry,
,,,g,,J___,,,,,,,am,
,,,h,,P___,,,,,,,eanut,
,,,i,,B___,,,,,,,utter,
2,6,18,1,Look at the example. Rewrite the sentences,,,,,,,,,
,,,a,,My brother's T-shirt is new.,,,,,,,My brother's T-shirt is new.,
,,,b,,Do you like Sara's dress?,,,,,,,Do you like Sara's dress?,
,,,,,Are these the children's jeans?,,,,,,,Are these the children's jeans?,
2,6,18,2,Complete the conversation.,,,,,,,,,
,,,a,,Hello. What's ____ name? ,,,,,,,your,
,,,b,,"____ name is Julie. And this ____ my brother, Sammy. ",,,,,,,My / is,
,,,c,,"And this is ____ dog, Bouncer.",,,,,,,our,
2,6,19,1,Complete the pictures. Write the words. ,,,,,,,,,
,,,a,,,,,,,,,underpants,
,,,b,,,,,,,,,dress,
,,,c,,,,,,,,,socks,
,,,d,,,,,,,,,top,
,,,e,,,,,,,,,skirt,
,,,f,,,,,,,,,jeans,
,,,g,,,,,,,,,T-shirt,
2,7,20,2,And you? what new clothes do you need?,,,,,,,,,
,,,a,,,,,,,,,,
2,7,21,4,Read and guess.,,,,,,,,,
,,,a,,"You wear them on your feet, but they're not shoes. What are they? The word has eight letters.",,,,,,,sneakers,
2,8,22,1,"Write in, on, under or next to.",,,,,,,,,
,,,a,,The dog is ___ the raincoat.,,,,,,,under,
,,,b,,The raincoat is ____ the floor.,,,,,,,on ,
,,,c,,The cat is ____ one of the rain boots.,,,,,,,in ,
,,,d,,The umbrella is ____ the rain jacket.,,,,,,,next to,
,,,e,,The rain hat is ____ the chair,,,,,,,on ,
,,,f,,The shoes are ____ the chair.,,,,,,,under,
2,8,23,1,Label the picture.,,,,,,,,,
,,,a,,,,,,,,,umbrella,
,,,b,,,,,,,,,rain coat,
,,,c,,,,,,,,,rain boots,
2,9,24,1,Write has or doesn't have,,,,,,,,,
,,,a,,Kim ____ a wand. She ____ a coronet.,,,,,,,doesn't have / has,
,,,b,,Alicia ____ a wand.,,,,,,,doesn't have,
,,,c,,Dany ____ an eye patch. He isn't a pirate! He ___ a cloak and a mask.,,,,,,,doesn't have / has,
2,9,24,2,Complete the questions,,,,,,,,,
,,,a,,Does Joe ___ an eye patch?,,,,,,,"have. Yes, he does.",
,,,b,,Does Joe ___  a cloak?,,,,,,,"have. No, he doesn't",
,,,c,,Does Kim ___ a wand?,,,,,,,"have. No, she doesn't",
2,9,25,3,Write the words by the pictures.,,,,,,,,,
,,,a,,,,,,,,,princess,
,,,b,,,,,,,,,fairy,
,,,c,,,,,,,,,coronet,
,,,d,,,,,,,,,wand,
,,,e,,,,,,,,,eye patch,
,,,f,,,,,,,,,cloak,
