Archivo JSON,Orden,Instruccion,Pregunta,Respuesta
,1,Write the sentences,,
,a,,___ ?,Milk comes from cows
,b,,___ ?,Honey comes from bees.
,c,,___ ?,Sausages comes from pigs
,d,,___ ?,Eggs come from hens
,2,Complete the questions,,
,a,,Where ___ comes from?,does bacon
,b,,Where ___ come from?,do eggs
,1,Read and complete,,
,a,,Carlos like cabbage but he ___,doesn't like broccoli
,b,,Alice and Kim like potatoes and they ___,like carrots too
,c,,Alice and Kim like carrots but they ___,don't like beets or onions
,d,,Carlos doesn't like lettuce and he ___,doesn't like broccoli
,2,Write about you,,
,a,,I ___ and I ___,
,b,,I ___ but I ___,
,4,Guess the vegetables,,
,a,,___.  It's red and it's round,tomato
,b,,___. They're small and round and green,peas
,2,Use the words to complete instructions,,
,a,,___ the potatoes.,Wash.
,b,,___ the potatoes.,Peel
,c,,___ the onion.,Cut
,d,,___ the potatoes and water in the blender.,Put
,e,,___ on the blender,Turn
,f,,___ some salt and pepper,Add
,2,Complete the phrase,,
,a,,___ the strawberry jelly?,Where's
,3,Complete the word,,
,a,,C___,ereal
,b,,B___,read
,c,,B___,utter
,d,,M___,ilk
,e,,C___,heese
,f,,S___,trawberry
,g,,J___,am
,h,,P___,eanut
,i,,B___,utter
,1,Write the food in the correct place,,
,,,Dairy___,"cheese, butter"
,,,Fruit___,"orange, strawberries"
,,,Carbohydrates___,"bread, cake"
,,,Vegetables___,"carrot, broccoli"
,,,Protein___,"eggs, beef"
,1,Look at the example. Rewrite the sentences,,
,a,,My brother's T-shirt is new.,My brother's T-shirt is new.
,b,,Do you like Sara's dress?,Do you like Sara's dress?
,,,Are these the children's jeans?,Are these the children's jeans?
,2,Complete the conversation.,,
,a,,Hello. What's ____ name? ,your
,b,,"____ name is Julie. And this ____ my brother, Sammy. ",My / is
,c,,"And this is ____ dog, Bouncer.",our
,1,Complete the pictures. Write the words. ,,
,a,,,underpants
,b,,,dress
,c,,,socks
,d,,,top
,e,,,skirt
,f,,,jeans
,g,,,T-shirt
,2,And you? what new clothes do you need?,,
,a,,,
,4,Read and guess.,,
,a,,"You wear them on your feet, but they're not shoes. What are they? The word has eight letters.",sneakers
,1,"Write in, on, under or next to.",,
,a,,The dog is ___ the raincoat.,under
,b,,The raincoat is ____ the floor.,on 
