Archivo JSON,Instruccion,opciones,respuestas
SBP3M3L14b.json,Unscramble the question,,
,,me / Excuse. / get / How / I / do / bus stop / to / the / ? / ,Excuse me. How do I get to the bus stop?
SBP3M5L21a.json,Unscramble the mammal quiz,,
,,is / What / mammal / a / ?,What is a mammal?
,,types / How many / of mammals / there are / ? ,How many types of mammals there are?
,,mammals / Do / a / have / backbone / ?,Do mammals have a backbone?
,,does / How / breathe / mammal / a / ?,How does a mammal breathe?
,,What / mean / does / hot-blooded / ?,What does hot-blooded mean?
SBP3M5L24b.json,Unscramble the questions.,,
,,in / Italy / Was / in / Hyacynth / November / ? ,Was Hyacynth in Italy in November?
,,in / she / China / September / Was / in  / ? ,Was she in China in September? 
