Archivo JSON,Instruccion,Tipo,header_img,Pregunta,Opcion 1,Opcion 2,Opcion 3,Opcion 4,Opcion Correcta
WBS1M1L1a.json,Is it /ch/ or /sh/?,,,,,,,,
,,dropdown,,__eep,ch,sh,,,1
,,dropdown,,__ip,ch,sh,,,1
,,dropdown,,wit__,ch,sh,,,0
,,dropdown,,__eese,ch,sh,,,0
,,dropdown,,__ip,ch,sh,,,1
,,dropdown,,ca__,ch,sh,,,1
,,dropdown,,__icken,ch,sh,,,0
,,dropdown,,__ark,ch,sh,,,1
WBS1M1L5a.json,Read the text and answer true or false,,,,,,,,
,,dropdown,,It is always safe to surf the net. __,TRUE,FALSE,,,1
,,dropdown,,Sites with a valid security certificate has an 'S' in the address. __,TRUE,FALSE,,,0
,,dropdown,,Click baits tell you if you win a prize online. __,TRUE,FALSE,,,1
,,dropdown,,It is OK to share your password with your friends. __,TRUE,FALSE,,,1
,,dropdown,,A computer virus can wipe out your operating system. __,TRUE,FALSE,,,0
WBS1M2L6b.json,Choose the correctf form of the verb,,,,,,,,
,,dropdown,,You __ sick last week. How do you feel now?,were,was,,,0
,,dropdown,,Tom and I __ at the concert last night.,were,was,,,0
,,dropdown,,Tania __ sure about the concert tickets.,wasn't,weren't,,,0
,,dropdown,,We __ home last night. ,wasn't,weren't,,,1
,,dropdown,,We __ at the movies.,were,was,,,0
,,dropdown,,__ you happy with all your presents?,Were,Was,,,0
WBS1M2L8b.json,Choose the correct verb to complete the sentences,,,,,,,,
,,dropdown,,Natalie __ all the way home because she missed the bus.,ran,run,,,0
,,dropdown,,Yesterday we went to Enrique's and we __ way too much barbecue.,eat,ate,,,1
,,dropdown,,The teacher was at the door! We all quickly __ down and waited.,sit,sat,,,1
,,dropdown,,Peter __ the trash out and Dad was mad. ,didn't take,took,,,0
,,dropdown,,Hey! You __ for me at the end of the school day. ,waited,didn't wait,,,1
WBS1M2L8b.json,Complete the words with ee or ie,,,,,,,,
,,dropdown,,Tr__,ee,ie,,,0
,,dropdown,,F__ld,ee,ie,,,1
,,dropdown,,Sh__ld,ee,ie,,,1
,,dropdown,,Kn__,ee,ie,,,0
,,dropdown,,T__th,ee,ie,,,0
,,dropdown,,Bel__f,ee,ie,,,1
,,dropdown,,Mov__,ee,ie,,,1
,,dropdown,,D__r,ee,ie,,,0
,,dropdown,,Pr__st,ee,ie,,,1
,,dropdown,,S__d,ee,ie,,,0
,,dropdown,,Agr__,ee,ie,,,0
,,dropdown,,Ch__f,ee,ie,,,1
